Year,Quarter,Month,Day,Month,Sum of Month Number,Sum of Year
2021,Qtr 4,December,1,December,12,2021
2021,Qtr 4,December,2,December,12,2021
2021,Qtr 4,December,3,December,12,2021
2021,Qtr 4,December,4,December,12,2021
2021,Qtr 4,December,5,December,12,2021
2021,Qtr 4,December,6,December,12,2021
2021,Qtr 4,December,7,December,12,2021
2021,Qtr 4,December,8,December,12,2021
2021,Qtr 4,December,9,December,12,2021
2021,Qtr 4,December,10,December,12,2021
2021,Qtr 4,December,11,December,12,2021
2021,Qtr 4,December,12,December,12,2021
2021,Qtr 4,December,13,December,12,2021
2021,Qtr 4,December,14,December,12,2021
2021,Qtr 4,December,15,December,12,2021
2021,Qtr 4,December,16,December,12,2021
2021,Qtr 4,December,17,December,12,2021
2021,Qtr 4,December,18,December,12,2021
2021,Qtr 4,December,19,December,12,2021
2021,Qtr 4,December,20,December,12,2021
2021,Qtr 4,December,21,December,12,2021
2021,Qtr 4,December,22,December,12,2021
2021,Qtr 4,December,23,December,12,2021
2021,Qtr 4,December,24,December,12,2021
2021,Qtr 4,December,25,December,12,2021
2021,Qtr 4,December,26,December,12,2021
2021,Qtr 4,December,27,December,12,2021
2021,Qtr 4,December,28,December,12,2021
2021,Qtr 4,December,29,December,12,2021
2021,Qtr 4,December,30,December,12,2021
2021,Qtr 4,December,31,December,12,2021
2022,Qtr 4,December,1,December,12,2022
2022,Qtr 4,December,2,December,12,2022
2022,Qtr 4,December,3,December,12,2022
2022,Qtr 4,December,4,December,12,2022
2022,Qtr 4,December,5,December,12,2022
2022,Qtr 4,December,6,December,12,2022
2022,Qtr 4,December,7,December,12,2022
2022,Qtr 4,December,8,December,12,2022
2022,Qtr 4,December,9,December,12,2022
2022,Qtr 4,December,10,December,12,2022
2022,Qtr 4,December,11,December,12,2022
2022,Qtr 4,December,12,December,12,2022
2022,Qtr 4,December,13,December,12,2022
2022,Qtr 4,December,14,December,12,2022
2022,Qtr 4,December,15,December,12,2022
2022,Qtr 4,December,16,December,12,2022
2022,Qtr 4,December,17,December,12,2022
2022,Qtr 4,December,18,December,12,2022
2022,Qtr 4,December,19,December,12,2022
2022,Qtr 4,December,20,December,12,2022
2022,Qtr 4,December,21,December,12,2022
2022,Qtr 4,December,22,December,12,2022
2022,Qtr 4,December,23,December,12,2022
2022,Qtr 4,December,24,December,12,2022
2022,Qtr 4,December,25,December,12,2022
2022,Qtr 4,December,26,December,12,2022
2022,Qtr 4,December,27,December,12,2022
2022,Qtr 4,December,28,December,12,2022
2022,Qtr 4,December,29,December,12,2022
2022,Qtr 4,December,30,December,12,2022
2022,Qtr 4,December,31,December,12,2022
2021,Qtr 4,November,1,November,11,2021
2021,Qtr 4,November,2,November,11,2021
2021,Qtr 4,November,3,November,11,2021
2021,Qtr 4,November,4,November,11,2021
2021,Qtr 4,November,5,November,11,2021
2021,Qtr 4,November,6,November,11,2021
2021,Qtr 4,November,7,November,11,2021
2021,Qtr 4,November,8,November,11,2021
2021,Qtr 4,November,9,November,11,2021
2021,Qtr 4,November,10,November,11,2021
2021,Qtr 4,November,11,November,11,2021
2021,Qtr 4,November,12,November,11,2021
2021,Qtr 4,November,13,November,11,2021
2021,Qtr 4,November,14,November,11,2021
2021,Qtr 4,November,15,November,11,2021
2021,Qtr 4,November,16,November,11,2021
2021,Qtr 4,November,17,November,11,2021
2021,Qtr 4,November,18,November,11,2021
2021,Qtr 4,November,19,November,11,2021
2021,Qtr 4,November,20,November,11,2021
2021,Qtr 4,November,21,November,11,2021
2021,Qtr 4,November,22,November,11,2021
